query_id,doc_id,rank,score,bm25_rank,dense_rank,product_title,review_headline,star_rating
q11,R4RTQGBZPQDBQ,2,0.027888,28,2,"Natural RX Supplements NON GMO Coconut Water - Raw, Natural, Wildcrafted Electrolyte Powder (8oz) FREE 2 DAY SHIPPING",Works for me.,4
q11,R2XF2MWJSW1WRT,3,0.027106,11,19,"TEAki Hut Instant Black Tea Powder 4 Ounce (200 Servings) | 100 Percent Pure Ground Tea No Fillers, Additives or Artificial Ingredients of Any Kind",was not at all like fresh brewed tea,3
q11,R2OC3IBDMPR8GK,4,0.025333,18,22,Organic traditions blueberry powder - 3.5 oz,Did not arrive as a powder.,3
q11,R1HV8IEF9YZEGH,5,0.024878,32,13,"Bell Plantation PB2 Powdered Peanut Butter with PB2 and Premium Chocolate, 16 Ounces, (Pack of 4).",Fantastic PB powder!,5
q11,R39W3BGFIMBGE9,6,0.023705,3,73,"The Organic Coffee Co., Breakfast Blend, 12 OneCup Single Serve Cups",Great coffee and environmentally friendly.,5
q11,R2YZ8BPNNLU6RV,7,0.022859,15,48,Viva Labs Hemp Protein,The powder has worked great in smoothies and baking,4
q11,R1K07SQHAGJ3E7,8,0.022579,80,6,"Hoosier Hill Farm Organic Icelandic Kelp Powder, 1lb.",Love It,5
q11,R2O28WG1HVBMX9,9,0.021667,16,61,"Crystal Light On The Go Cherry Pomegranate Display, 30 Count",... drop that powder into a huge water bottle and enjoy the great flavor,5
q11,R2RZZ2K62DBNH1,10,0.020801,118,7,"Everly Passion Fruit Green Tea - All Natural Powdered Drink Mix - (36-ct) - Sugar Free, Zero Calorie, Healthy Water Enhancer",Gotta try them,5
q12,R3C3U7CWEYNEGU,1,0.03254,1,4,Sempio Hot Pepper Paste (Gochujang) 500g /1.1lb,Spicy but so good,4
q12,R1FDT6YLWFLK8T,2,0.031159,10,1,"NongShim Shin Ramyun Noodle Soup, Gourmet Spicy, 4.2 Ounce",Delicious,5
q12,R2GCZ5EWS02ZFI,3,0.030777,7,5,Vidalia Zesty Ranch Sweet Onion Petals 3.5 oz Bag (Pack of 3),Very delicious. Slightly spicy/hot. I generally stay away ...,5
q12,R2EZ19YY2SU87P,4,0.030536,6,7,"Ottogi Jin Ramen (Hot Taste), 2.29-ounce Packages (Pack of 6)",Spicy and good,4
q12,R1IJAZA1JDRC8Z,5,0.029828,14,3,"NongShim Shin Cup Noodle Soup, Gourmet Spicy, 2.64 Ounce",Absolute Best Ramen - Style Meal,5
q12,R34N11SVYZ7QUV,6,0.029631,9,8,Spike Hot 'n Spicy Natural Gourmet Seasoning,Love the heat,5
q12,R1U2QL09IU6JUL,7,0.028739,22,2,Nongshim Noodle Soup,Five Stars,5
q12,R1W6EWGF728LGJ,8,0.027973,12,13,"Wholly Ganjang, Premium Gluten-free Unpasteurized Artisanal Korean Soy Sauce",A Truly Authentic Korean Soy Sauce,5
q12,R1YQHO9XAVM1C7,9,0.027885,21,6,"Dr. McDougall's Right Foods Vegan Hot & Sour Ramen, 1.9-Ounce Cups (Pack of 6)",I really like it.,4
q12,R38HJULSFLDD86,10,0.027598,15,12,Korean BBQ for Beef - 29.63fl Oz (Pack of 1),Yummy sauce,5
q13,R1YKMU946EYJBW,1,0.030777,5,7,AWAKE Chocolate - Caramel 1.55oz - 12pk,Aftertaste?,1
q13,RIBMD1QCJ5MSM,2,0.03055,8,5,"V8 V-fusion + Plus Energy Black Cherry, 8 fl. oz. cans (Pack of 24)",Artificial sweetener...I like real sugar,1
q13,R37A5SE85MPPDQ,3,0.029762,4,13,"SweetLeaf Sweetener (70-Count Packets), 2.5-Ounce Boxes (Pack of 3)","Great pack of three, all natural stevia product",5
q13,R35U9GKZFEG8MJ,4,0.029012,22,1,"Sugar Twin Calorie Free Sweetener,  100-Count Boxes (Pack of 12)",Five Stars,5
q13,R1TRP4SOCLVZZ5,5,0.027402,13,15,"Natvia 100% Natural Sweetener, Canister, 7 Ounce",NatVia is my new best friend!,5
q13,RPK68E9GQL46B,6,0.027313,19,10,NOW Foods Xylitol Plus Stevia Packets,Xylitol Plus Stevia a Winner for Alternative Sweeteners!,5
q13,R1VHC4JYF2MRN1,7,0.026129,3,41,"Orgain Organic Plant Based Protein Powder, Packaging May Vary","Best protein powder I've tasted in a long time.  No aftertaste, blends well with other igredients.",5
q13,R2LHLNA2JQYRA9,8,0.025974,18,18,Stevita Liquid Extract 1.35 Ounces,Five all the way!,5
q13,R3GJTBL3EZ084P,9,0.024652,28,17,Coffee-mate Coffee Creamer,Two Stars,2
q13,R37KF2ORVCBSS7,10,0.02388,9,50,"LorAnn Oils Emulsion, Banana, 4 Ounce",There was not weird aftertaste just a nice banana taste,5
q14,RS7TRT9QX1MKL,1,0.031754,3,5,Nespresso OriginalLine Roma,Great espresso - consistently.,5
q14,RAXVV2XWZG5YT,2,0.027921,24,4,Kasugai Sumiyaki Coffee (3.35oz),Wow:  It's as Americano* as candy gets.,5
q14,R2RVJLAUL7MSSL,3,0.026621,30,6,Marley Coffee Buffalo Soldier,Great!,5
q14,R3R6AY7SDTPTUC,4,0.023516,1,87,"Lavazza Whole Bean Coffee, 2.2 Pound Bag",Just like in Italy,5
q14,R2TE0RBLTZA0B5,5,0.02346,11,50,"Eight O'Clock Whole Bean Coffee, Colombian Peaks, 11 Ounce (Pack of 6)",Love these coffee beans!!,5
q14,R28G69H7IOTYBW,6,0.02188,16,58,Best Espresso Coffee - Joltin' Joe Espresso Ground - 12 Ounce Bag - 100% Arabica Beans - Award-Winning,Expensive and it's not espresso machine ground fine enough. I think it's a pretty weak flavored ...,1
q14,R3N4D4WGUQXNMJ,7,0.021137,42,30,"Lavazza Top Class Whole Bean Espresso, 2.2-Pound Bag",Five Stars,5
q14,RWA3VXB265N9,8,0.021124,53,23,Jamaica Blue Mountain Blend 16oz/ 1lb Beans,BEST COFFEE EVER!!!,5
q14,RRMHH3UOBAGAJ,9,0.021069,7,110,"illy iperEspresso Capsules Dark Roasted Coffee, 5-Ounce, 21-Count Capsules",I LOVE IT,5
q14,R3MRQF8QFI0Q4,10,0.019025,152,11,"Dancing Moon Colombia Nariño Whole Bean Organic Fair Trade Coffee, 2 lbs.","Round, Well Balanced, Outstanding Coffee",5
q15,R1V6Q467H4NFXE,1,0.03306,2,1,"Better Than Milk Original Vegan Rice Powder, 21.4 Ounce",Good substitute for dairy powdered milk,5
q15,R39Z30GA0AWNW9,2,0.032796,1,3,"Lenny & Larry's The Complete Cookie, Chocolate Chip, 4-Ounce Cookies (Pack of 12)",these are amazing. If the label didn't say dairy free,5
q15,RNPR0ML7ECGB,3,0.031514,3,6,Happy Creamies Organic Veggie and Fruit Snacks with Coconut Milk,Perfect dairy free option!,5
q15,R2DICYRBRD8A9O,4,0.028694,19,4,"Living Harvest Tempt Hemp Milk, Unsweetened Original, 32-Ounce Containers (Pack of 12)",Better than milk,5
q15,R2YZ8BPNNLU6RV,5,0.027921,4,24,Viva Labs Hemp Protein,The powder has worked great in smoothies and baking,4
q15,R183L9W7BH89SR,6,0.027497,7,22,kataoka – Té verde Matcha Leche 7.05oz,"Delicious, best matcha milk",5
q15,R1HV8IEF9YZEGH,7,0.027206,9,21,"Bell Plantation PB2 Powdered Peanut Butter with PB2 and Premium Chocolate, 16 Ounces, (Pack of 4).",Fantastic PB powder!,5
q15,R2E9R49Y2Y4MJ3,8,0.026357,20,14,Hoosier Hill Farm,This is NOT coffee creamer as a powder.,3
q15,RFTQ8A3OEM88G,9,0.026334,15,19,Peak Instant Full-Cream Dry Whole Milk Powder,Five Stars,5
q15,RHUO5RQIUV5TA,10,0.02632,18,16,Nestle NIDO Fortificada Dry Milk,Dry can be good,5
q16,R84S9A0YYICS1,1,0.032002,3,4,"Plum Organics Second Blends Hearty Veggie Meal, 3.5 Ounce (Pack of 12)",My toddler's favorite,5
q16,R2MP04MH61K2LN,2,0.030769,6,6,The Good Bean Chickpea Snacks,high protein snack,2
q16,R9IZ5M6GILIV7,3,0.03055,5,8,Veggies,Perfect snack for out and about.,5
q16,RL9KESGCFZ9SX,4,0.029116,18,3,"Jif Chocolate Nut Butter Almond Granola Bars, 5 Count Pack",Awesome treat packed with protein.,5
q16,R3GQ11XKN0ZOJ4,5,0.027032,2,35,"Annie's Organic Bunny Fruit Snacks, Variety Pack, 24 Pouches, 0.8 oz Each",Five Stars,5
q16,RWACMLR9X7HXZ,6,0.025595,53,1,"KIND Bars, Dark Chocolate Nuts & Sea Salt 12ct, Gluten Free, 6g Protein, 5g Sugar",Really great protein snack,5
q16,R1OW95W101N2K0,7,0.025562,15,24,"Non-GMO and Natural Healthy Snacks Care Package - College, Military, Get Well, Thank You Gift, School Lunch, Office Variety Pack",Amazing healthy great tasting snacks,5
q16,R2IHRHCKP2GF9H,8,0.024923,26,17,Sahale Snacks,amazing grab and go snacks.,5
q16,R1J18S3WRUJWUP,9,0.024017,46,10,"Jif Chocolate Nut Butter Almond Granola Bars, 5 Count Pack",Protein wrapped in a yummy bar!,5
q16,R37HCFSER6CCBG,10,0.023755,64,5,"Enlightened Crisp The Good for You Crisp Roasted Broad Beans, 3.5 Ounce (Pack of 6)",I love salty snacks and we all know that chips and ...,5
q17,RMXAREB2PCAHM,1,0.033333,1,1,Sintonia from Madonna dell'Oliva Extra Virgin Olive Oil 2014,Super good tasting Olive Oil,5
q17,R2RLEM7XTNCUQ5,2,0.030777,5,7,"Barbera Lorenzo  #3 Sicilian Extra Virgin Olive oil D.O.P. Val Di Mazara, 16.9-Ounce",The Absolute Best Olive Oil in the Entire World.,5
q17,R2HI9XD7E01B4P,3,0.030366,4,10,Terra Creta | Award Winning | Kolymvari Estates | 100% Pure Greek Olive Oil | Cold Extracted | Protective Designation of Origin | 3Ltr - (101.6 fl.oz) Tin,An honest olive oil,4
q17,R3VDLRKXEIS748,4,0.029287,3,17,Dean Jacob's Tuscany Bread Dipping Seasoning ~ 3.8 oz.,Dipping Queen...Really Enjoy,5
q17,R1Q90A9DT4T7N8,5,0.029274,6,13,Kevala Organic Olive 1/2 Gal,Super high quality organic olive oil,5
q17,R3GB2ME2MXZBEM,6,0.029236,7,12,"Brookfarm Natural Macadamia Nut Oil , 8.5-Ounce Bottles (Pack of 3)",The Perfect Oil,5
q17,ROCQP6X2FI61P,7,0.029214,2,19,"Bertolli: ""Fragrante"" Virgin Olive Oil - 1 liter * Pack of 2 [ Italian Import ]",This olive oil has the best and truest olive flavor i have found in moderate ...,5
q17,R1QMFTIIZ9ZKVF,8,0.029214,19,2,"Melina's Extra Virgin Olive Oil, Pepperino Chili Pepper, Garlic and Rosemary Infused, 2 oz.","Excellent ""garnish"" oil!",5
q17,R34KH1K9BMMCCK,9,0.029139,15,5,Chosen Foods 100% Avacado Cooking Oil - 1ltr Bottle (33.8fl) ~ Variety Pack,Very healthy alternative,5
q17,R3CVRQ5O6645H,10,0.028219,9,15,"Colavita Extra Virgin Olive Oil Special, 17 Ounce (Pack of 2)","Good olive oil, great item for subscribe and save",5
q18,R189DEHQ8QDDG3,1,0.032787,2,2,"Wedderspoon 100% Raw Manuka Honey KFactor, 24 Count",Five Stars,5
q18,R17UYYLTAQVE7T,2,0.03254,4,1,"PowerBar PowerGel, 1.44 Ounce  (Pack of 24)",Still searching for the perfect energy gel,4
q18,R3O77TAQVHN38Y,3,0.032051,1,6,"Pure Natural Miracles Cacao Nibs. Raw, Organic and Premium Criollo Variety.",Awesome and healthy.,5
q18,R1MVDXESILS86S,4,0.028439,15,8,"V8 V-Fusion +Energy Drinks, 8 Fl Oz",Best energy drink ever,5
q18,R2K68RNOPDTROG,5,0.025206,24,17,"Honey Stinger Energy Gel, Gold, 1.2 Ounce (Pack of 24)",They are very sweet and honey like,4
q18,RPYQ8MD4A7IX6,6,0.024749,30,15,"VE2 Energy Gum, Sugar Free, 12 packs (10 pieces each) Contains Caffeine, B6, B12, Ginseng & Guarana (also uses Xylitol)",... chew them when I feel not being at my best in energy,3
q18,R1BPATJQSGMDCE,7,0.024563,25,20,"Sambazon Amazon Energy Drink, Low-Calorie",this fantastic energy is my favorite,5
q18,R1ZASHWK2PJ19D,8,0.023259,5,72,Matcha DNA Certified Organic Matcha Green Tea,All Day Energy,5
q18,RJFS3XGVLHDM4,9,0.021808,16,59,X-Mode Energy Shots on Tap,... as strong as 5 hr energy but still works great,5
q18,R3MIS5BLMRM70F,10,0.021698,39,28,"V8 V-Fusion +Energy Drinks, 8 Fl Oz",So glad i found this,5
q19,R3OK6BZKSWXA86,1,0.033333,1,1,"Stakich RAW HONEY - 100% Pure, Unprocessed, Unheated, KOSHER",Very good raw honey!,5
q19,RHI328HAIOR38,2,0.032018,2,5,"YS Organic Bee Farms CERTIFIED ORGANIC RAW HONEY 100% CERTIFIED ORGANIC HONEY Raw, Unprocessed, Unpasteurized - Kosher 32oz (Pack of 3)","I'm sure it will be great, as I have purchased Real Raw Honey in ...",5
q19,R4HOWA0JS6QAT,3,0.030331,5,9,Y.S. Eco Bee Farms Raw Honey - 22 oz,Spreadable honey,5
q19,R2WU3WXPM5DL1U,4,0.03031,6,8,"24 Mantra Organic Ginger Powder, Dry, 7 Ounce",LIKE!,5
q19,R2E4RAW59QRBFV,5,0.030018,3,13,"YS Eco Bee Farms RAW HONEY - Raw, Unfiltered, Unpasteurized - Kosher","tastes just as good, but I prefer organic",4
q19,R1SDY7EZACL61I,6,0.030018,13,3,Happy Valley UMF 15+ Manuka Honey,"Very, very expensive",4
q19,R1BNRC6XURVKZO,7,0.029644,10,7,"Wedderspoon Honey New Zealand 100 Percent Raw Organic Wild Rata , 17.6 Ounce",Five Stars,5
q19,R2IGNMK1A8TN90,8,0.029206,16,4,Raw Wildflower Honey by the Beekeeper's Daughter - 2.5 lb Jar (2.5 pound),"Never heated or filtered! Retains the beneficial traces of pollen, propolis, etc.",5
q19,R1H2HT59RB13HX,9,0.027364,9,20,Y.S. Eco Bee Farms Raw Honey - 22 oz,This honey is great. I'm bout to order more,5
q19,RH0UUVXYPKNQD,10,0.027072,12,18,Ginger Honey (Pure Natural Raw Honey with Essence of Organic Ginger) 16oz,Honey of a honey!,5
q20,R1R2TKWBHMOFXZ,1,0.031025,7,4,Green Mountain Coffee Fair Trade for Keurig Brewers - Colombian Select,Five Stars,5
q20,R1D5Z5H9EZ1B2V,2,0.030556,13,1,"The Organic Coffee Co., Breakfast Blend, 12 OneCup Single Serve Cups",Delicious and Earth Friendly,5
q20,R3CHDA0F8V7ZDB,3,0.027619,16,11,Starbucks Breakfast Blend K-Cup for Keurig Brewers,Great light roast coffee,5
q20,R3FISHKHCGI660,4,0.027536,1,33,"Keurig, Eight O'Clock Coffee, The Original, K-Cup packs, 24 Count",Very good coffee. I prefer a medium roast like this,4
q20,R1VGG247WGHYFL,5,0.026901,9,23,"Krispy Kreme Keurig Single-Serve K-Cup Pods, Smooth Light Roast Coffee","Smooth, mellow flavor - medium roast",4
q20,R3JIR4VBG85BZ7,6,0.026438,38,3,"Kicking Horse Coffee, Whole Bean Coffee, 2.2 Pound Pouch",Good coffee but not special,4
q20,R1DLT2LPBDIMWR,7,0.025418,25,15,"2 Pounds Unroasted Coffee Beans, Premium Select from RhoadsRoast Coffees",Delightful,5
q20,R24BEWBBMKPXXR,8,0.024394,6,52,Barrie House Organic & Fair Trade Certified Decaf Classic Single Cup Capsules,Barrie House Organic Coffee,5
q20,RCLS486KI1ZED,9,0.024321,5,56,"Kicking Horse Coffee, Whole Bean Coffee, 2.2 Pound Pouch",Medium Roast > Dark Roast,3
q20,R2I7TCJ30I9UY5,10,0.021934,47,21,Caza Trail Single Serve Cup for Keurig K-Cup Brewers,coffee lovers take NOTICE !,5
